metric,label_key,label_value,value
loadtest_keys_received_total,test_id,ramp-sim57-20260519T060340-a8bfc0,8731.0
loadtest_keys_received_total,_all_labels,test_id=ramp-sim57-20260519T060340-a8bfc0,8731.0
loadtest_keys_requested_total,test_id,ramp-sim57-20260519T060340-a8bfc0,8731.0
loadtest_keys_requested_total,_all_labels,test_id=ramp-sim57-20260519T060340-a8bfc0,8731.0
loadtest_requests_total,result,ok,2163.0
loadtest_requests_total,status_code,200,2163.0
loadtest_requests_total,test_id,ramp-sim57-20260519T060340-a8bfc0,2163.0
loadtest_requests_total,_all_labels,result=ok|status_code=200|test_id=ramp-sim57-20260519T060340-a8bfc0,2163.0
loadtest_request_duration_seconds_bucket,le,0.05,2058.0
loadtest_request_duration_seconds_bucket,le,0.1,2155.0
loadtest_request_duration_seconds_bucket,le,0.25,2163.0
loadtest_request_duration_seconds_bucket,le,0.5,2163.0
loadtest_request_duration_seconds_bucket,le,1.0,2163.0
loadtest_request_duration_seconds_bucket,le,2.0,2163.0
loadtest_request_duration_seconds_bucket,le,5.0,2163.0
loadtest_request_duration_seconds_bucket,le,10.0,2163.0
loadtest_request_duration_seconds_bucket,le,20.0,2163.0
loadtest_request_duration_seconds_bucket,le,30.0,2163.0
loadtest_request_duration_seconds_bucket,le,60.0,2163.0
loadtest_request_duration_seconds_bucket,le,+Inf,2163.0
loadtest_request_duration_seconds_count,,,2163
loadtest_request_duration_seconds_sum,,,19.3360857963562
